Time,e_0,e`_1,q_0,q_4,dq_0,dq_4,dqr_0,dqr_1,dqd_0,dqd_1,ddqd_0,ddqd_1,tau_0,tau_4,Fext_0,Fext_1,N_hat_1,N_hat_2
0.025, -0.0626228, 0.0670436, 1.56316, -1.63324, -0.0728485, -0.384598, -0.140751, -0.326959, -0.135471, -0.317555, 6.1341, 2.44047, -8.80471, -1.65496, -0.001, -0.184, -8.192, -2.28967
0.026, -0.0571426, 0.0621662, 1.56274, -1.63549, -0.0698005, -0.376408, -0.132222, -0.323599, -0.126943, -0.314242, 8.52824, 3.31303, -5.65517, -1.31366, -0.001, -0.184, -5.06977, -1.92409
0.027, -0.0522741, 0.0573059, 1.56254, -1.6366, -0.0704101, -0.369998, -0.127941, -0.321993, -0.122684, -0.312692, 4.25887, 1.54972, -11.5209, -1.33424, -0.001, -0.184, -10.9598, -1.92046
0.028, -0.0482654, 0.0383843, 1.56219, -1.63838, -0.067362, -0.348631, -0.120876, -0.319497, -0.115627, -0.310247, 7.05672, 2.44495, -7.6618, -1.1858, -0.001, -0.184, -7.12066, -1.67762
0.029, -0.0392343, 0.0241867, 1.56191, -1.63975, -0.0707149, -0.332606, -0.115183, -0.317616, -0.109949, -0.30842, 5.6783, 1.8273, -9.65541, -1.21787, -0.001, -0.184, -9.15934, -1.63878
0.03, -0.0214549, 0.00977636, 1.56161, -1.64099, -0.0829071, -0.316581, -0.109581, -0.315947, -0.104362, -0.306805, 5.58718, 1.61462, -9.74013, -1.26487, -0.001, -0.184, -9.33287, -1.61375
0.031, -0.0109854, -0.00115821, 1.56133, -1.64189, -0.0886984, -0.304474, -0.104883, -0.314718, -0.0996838, -0.305632, 4.67819, 1.17315, -11.006, -1.95267, -0.001, -0.184, -10.651, -1.64688
0.032, 0.00986197, -0.0166796, 1.56084, -1.64338, -0.1015, -0.287024, -0.096835, -0.312737, -0.0916383, -0.303704, 8.04551, 1.92802, -5.52136, -2.0471, -0.001, -0.184, -5.87067, -1.66371
0.033, 0.0218062, -0.0323791, 1.56044, -1.64449, -0.106987, -0.269931, -0.0903666, -0.311289, -0.0851806, -0.30231, 6.45768, 1.39369, -7.63931, -2.30893, -0.001, -0.184, -8.04832, -1.84709
0.034, 0.0337538, -0.0382152, 1.55988, -1.64581, -0.11034, -0.262453, -0.0817718, -0.309593, -0.0765858, -0.300668, 8.59479, 1.64218, -4.66244, -2.48253, -0.001, -0.184, -5.13115, -1.99154
0.035, 0.0330043, -0.0402599, 1.55945, -1.6468, -0.103024, -0.259248, -0.075196, -0.308377, -0.07002, -0.299508, 6.56579, 1.16035, -7.35066, -2.70952, -0.001, -0.184, -7.81562, -2.20833
0.036, 0.0381977, -0.0413332, 1.55894, -1.64809, -0.0999762, -0.256755, -0.0669528, -0.306904, -0.0617785, -0.298088, 8.24147, 1.41945, -5.02194, -2.87483, -0.001, -0.184, -5.51283, -2.36828
0.037, 0.0444105, -0.0324067, 1.55856, -1.64918, -0.0996714, -0.264589, -0.0604248, -0.305757, -0.0552609, -0.296996, 6.51767, 1.09207, -7.26046, -3.00197, -0.001, -0.184, -7.78237, -2.53999
0.038, 0.055943, -0.0224873, 1.55813, -1.65021, -0.104244, -0.273492, -0.0534564, -0.304685, -0.0483005, -0.295979, 6.96036, 1.01673, -6.51664, -3.0586, -0.001, -0.184, -7.09607, -2.64619
0.039, 0.0654084, -0.0154164, 1.55772, -1.65134, -0.106682, -0.279546, -0.0464217, -0.303613, -0.0412735, -0.294962, 7.02699, 1.01695, -6.30082, -3.09213, -0.001, -0.184, -6.92739, -2.71505
0.04, 0.0773215, 0.00398241, 1.55718, -1.6528, -0.10912, -0.297708, -0.0369516, -0.302322, -0.0317989, -0.293725, 9.47463, 1.23727, -3.24047, -2.35831, -0.001, -0.184, -3.92631, -2.67822
0.041, 0.0843203, 0.0208153, 1.55664, -1.65434, -0.106377, -0.313376, -0.0272153, -0.301104, -0.0220568, -0.292561, 9.74207, 1.16406, -2.90739, -2.18777, -0.001, -0.184, -3.62799, -2.59183
0.042, 0.0868933, 0.0276817, 1.55621, -1.65556, -0.101195, -0.31943, -0.0194565, -0.300236, -0.0143021, -0.291748, 7.75469, 0.812585, -5.06664, -2.05307, -0.001, -0.184, -5.80002, -2.49144
0.043, 0.0861596, 0.0239899, 1.55558, -1.6578, -0.0874792, -0.314445, -0.00649583, -0.29889, -0.00131959, -0.290455, 12.9825, 1.29367, -0.557159, -1.93098, -0.001, -0.184, -1.28689, -2.35091
0.044, 0.0958436, 0.0225119, 1.55498, -1.66001, -0.0844311, -0.311952, 0.00621575, -0.297822, 0.0114125, -0.28944, 12.7321, 1.01477, -0.624093, -1.85852, -0.001, -0.184, -1.40185, -2.27106
0.045, 0.100268, 0.0180625, 1.55457, -1.66156, -0.0798591, -0.306966, 0.0152108, -0.29723, 0.0204094, -0.288904, 8.99686, 0.536163, -3.46882, -1.82171, -0.001, -0.184, -4.26849, -2.21201
0.046, 0.100001, 0.0108878, 1.55426, -1.66272, -0.0728485, -0.299488, 0.0219632, -0.296869, 0.0271524, -0.2886, 6.74303, 0.303587, -6.05198, -1.81359, -0.001, -0.184, -6.85032, -2.16802
0.047, 0.107548, 0.00632344, 1.55379, -1.66482, -0.0688861, -0.294503, 0.0334589, -0.296392, 0.0386624, -0.288179, 11.51, 0.42117, -1.20077, -1.80472, -0.001, -0.184, -2.03644, -2.13634
0.048, 0.11649, -0.00559797, 1.55332, -1.66686, -0.0664476, -0.282395, 0.0448251, -0.296149, 0.0500422, -0.287993, 11.3798, 0.186318, -1.22734, -2.49437, -0.001, -0.184, -2.10717, -2.16638
0.049, 0.115679, -0.0127443, 1.55306, -1.66792, -0.0594371, -0.275273, 0.0510367, -0.296116, 0.0562416, -0.288017, 6.19941, -0.0241921, -6.39111, -2.58988, -0.001, -0.184, -7.26693, -2.22617
0.05, 0.11398, -0.02066, 1.55279, -1.66926, -0.0505977, -0.267438, 0.0581844, -0.29614, 0.0633818, -0.288098, 7.14021, -0.081238, -5.1085, -2.72445, -0.001, -0.184, -5.97594, -2.32116
0.051, 0.119627, -0.0158077, 1.5526, -1.67039, -0.0505977, -0.272424, 0.0638463, -0.296216, 0.0690288, -0.288231, 5.64701, -0.133249, -6.66304, -2.77242, -0.001, -0.184, -7.55834, -2.39339
0.052, 0.133511, -0.00925301, 1.55237, -1.67146, -0.0585227, -0.27919, 0.0698187, -0.29637, 0.074988, -0.288443, 5.95918, -0.211377, -5.99095, -2.78109, -0.001, -0.184, -6.95456, -2.43483
0.053, 0.140185, -0.00484914, 1.55219, -1.67236, -0.0603515, -0.283819, 0.0746827, -0.296538, 0.0798333, -0.288668, 4.84524, -0.225552, -6.88104, -2.78097, -0.001, -0.184, -7.87741, -2.45673
0.054, 0.155251, -0.00156717, 1.55174, -1.6743, -0.064314, -0.286668, 0.085774, -0.296051, 0.0909371, -0.288235, 11.1038, 0.433096, -0.877616, -2.76674, -0.001, -0.184, -1.94769, -2.45891
0.055, 0.160692, 0.00528792, 1.55149, -1.67548, -0.0646188, -0.289161, 0.0909277, -0.291655, 0.0960735, -0.283873, 5.13642, 4.36232, -6.0169, -1.55154, -0.001, -0.184, -7.11352, -1.87798
