Time,e_0,e`_1,q_0,q_4,dq_0,dq_4,dqr_0,dqr_1,dqd_0,dqd_1,ddqd_0,ddqd_1,tau_0,tau_4,Fext_0,Fext_1,N_hat_1,N_hat_2
4.691, -0.00318273, 0.0241382, 1.19973, -2.0027, -0.132895, 0.209392, -0.106796, 0.234773, -0.136078, 0.233531, 1.01511, 1.06035, -6.17069, 2.17352, 0.275792, -0.807889, -5.85477, 1.75285
4.692, -0.00389253, 0.0246684, 1.19934, -2.00209, -0.131676, 0.209392, -0.106313, 0.235328, -0.135569, 0.234061, 0.509422, 0.530182, -6.25627, 2.3056, 0.275792, -0.807889, -5.93681, 1.88228
4.693, 0.00127603, 0.0167333, 1.19867, -2.00102, -0.135943, 0.218295, -0.105439, 0.236318, -0.134667, 0.235028, 0.901282, 0.967591, -5.57883, 2.32202, 0.275792, -0.807889, -5.88521, 1.93836
4.694, 0.00484361, 0.00836929, 1.19825, -2.00034, -0.138991, 0.227198, -0.104946, 0.236881, -0.134148, 0.235567, 0.519529, 0.538748, -5.58271, 2.3343, 0.275792, -0.807889, -5.90693, 1.99245
4.695, 0.00723568, -0.00341898, 1.19743, -1.99889, -0.14082, 0.239662, -0.104408, 0.237579, -0.133584, 0.236243, 0.563237, 0.675557, -5.53255, 1.65583, 0.275792, -0.807889, -5.86872, 1.97293
4.696, 0.00844417, -0.00498581, 1.19684, -1.99797, -0.141125, 0.242154, -0.103532, 0.238527, -0.132681, 0.237169, 0.903678, 0.925938, -5.44621, 1.6156, 0.275792, -0.807889, -5.78843, 1.94053
4.697, 0.00622277, -0.00328239, 1.19631, -1.99698, -0.138687, 0.24073, -0.103339, 0.238832, -0.132464, 0.237448, 0.21705, 0.278977, -5.4903, 1.63017, 0.275792, -0.807889, -5.82142, 1.94658
4.698, 0.00166529, 0.00339581, 1.19587, -1.99627, -0.133505, 0.234676, -0.10274, 0.239479, -0.13184, 0.238072, 0.624213, 0.624347, -5.47749, 2.27059, 0.275792, -0.807889, -5.78582, 1.95361
4.699, -0.00335736, 0.00855168, 1.19523, -1.99511, -0.128018, 0.230047, -0.102301, 0.24003, -0.131376, 0.238598, 0.463846, 0.526446, -6.13302, 2.33739, 0.275792, -0.807889, -5.81624, 1.99463
4.7, -0.00553678, 0.00811406, 1.19486, -1.99444, -0.12558, 0.230759, -0.102065, 0.240329, -0.131117, 0.238873, 0.25903, 0.274599, -6.18269, 2.37677, 0.275792, -0.807889, -5.855, 2.0362
4.701, -0.00376162, 0.0017296, 1.19437, -1.99346, -0.127409, 0.237169, -0.10214, 0.240381, -0.13117, 0.238899, -0.0536736, 0.025505, -6.19735, 2.35448, 0.275792, -0.807889, -5.87854, 2.04583
4.702, 0.00158517, -0.00206438, 1.19357, -1.99204, -0.131981, 0.241798, -0.101391, 0.241238, -0.130396, 0.239734, 0.774706, 0.835443, -5.51411, 1.70758, 0.275792, -0.807889, -5.82203, 2.0179
4.703, 0.00455776, 0.00142333, 1.19305, -1.99106, -0.134724, 0.238593, -0.101184, 0.241546, -0.130166, 0.240017, 0.229343, 0.28273, -5.52225, 2.34841, 0.275792, -0.807889, -5.84504, 2.04129
4.704, 0.0037071, 0.00426443, 1.19238, -1.98987, -0.1332, 0.236457, -0.100535, 0.242273, -0.129493, 0.240721, 0.673364, 0.704444, -5.47636, 2.37016, 0.275792, -0.807889, -5.79489, 2.04883
4.705, 0.00127306, 0.00799095, 1.19183, -1.98898, -0.129847, 0.233608, -0.0996422, 0.243172, -0.128574, 0.241599, 0.918818, 0.877644, -5.45121, 2.41621, 0.275792, -0.807889, -5.75757, 2.07626
4.706, -0.00344721, 0.000659898, 1.19119, -1.98778, -0.124665, 0.241442, -0.0992038, 0.243698, -0.128113, 0.242102, 0.461428, 0.503351, -6.14252, 2.39714, 0.275792, -0.807889, -5.82529, 2.09384
4.707, -0.00600951, -0.0033531, 1.19058, -1.98657, -0.121922, 0.245716, -0.0990442, 0.243983, -0.127932, 0.242362, 0.180946, 0.260314, -6.19912, 1.76739, 0.275792, -0.807889, -5.86908, 2.08416
4.708, -0.00664453, -0.00822247, 1.18987, -1.98509, -0.121313, 0.250701, -0.0990898, 0.244125, -0.127957, 0.242479, -0.0254019, 0.116164, -6.23711, 1.70787, 0.275792, -0.807889, -5.90389, 2.04898
4.709, -0.00383775, -0.00934104, 1.18914, -1.98352, -0.124361, 0.251769, -0.0993499, 0.2441, -0.128198, 0.242428, -0.241285, -0.0502453, -6.23697, 1.66087, 0.275792, -0.807889, -5.91778, 2.00757
4.71, 0.000413834, -0.0101212, 1.18836, -1.98203, -0.128018, 0.253194, -0.098782, 0.244771, -0.127604, 0.243073, 0.593922, 0.644313, -5.58915, 1.60158, 0.221971, -0.818511, -5.89122, 1.95218
4.711, -0.00234697, -0.0083598, 1.18772, -1.98053, -0.125885, 0.251057, -0.0994288, 0.244427, -0.128232, 0.242697, -0.627161, -0.375283, -6.2117, 1.57984, 0.221971, -0.818511, -5.89996, 1.92164
4.712, -0.00206913, -0.00329203, 1.18724, -1.97973, -0.125275, 0.246784, -0.0985684, 0.245247, -0.127344, 0.243492, 0.887443, 0.794452, -6.18698, 1.57891, 0.221971, -0.818511, -5.87664, 1.89537
4.713, -0.00507894, 0.00301183, 1.18673, -1.9788, -0.121617, 0.241086, -0.0979461, 0.24588, -0.126696, 0.244098, 0.647861, 0.606112, -6.2566, 2.2307, 0.221971, -0.818511, -5.9312, 1.91565
4.714, -0.00514426, 0.0126084, 1.18603, -1.97734, -0.121313, 0.231827, -0.09773, 0.246245, -0.126457, 0.244436, 0.239481, 0.337706, -6.31195, 2.34165, 0.221971, -0.818511, -5.98623, 1.97861
4.715, -0.00190994, 0.00910827, 1.1853, -1.97597, -0.123751, 0.236101, -0.09696, 0.247044, -0.125661, 0.245209, 0.795877, 0.773197, -6.25683, 2.35144, 0.221971, -0.818511, -5.94728, 2.0059
4.716, 0.00220694, 0.00088678, 1.18479, -1.97504, -0.127104, 0.245003, -0.0962214, 0.247751, -0.124897, 0.24589, 0.764021, 0.681248, -5.62999, 2.31788, 0.221971, -0.818511, -5.94103, 2.01345
4.717, 0.00429215, -0.00570911, 1.18426, -1.97402, -0.128628, 0.252125, -0.0956845, 0.248304, -0.124336, 0.246416, 0.561182, 0.5263, -5.62157, 1.66468, 0.221971, -0.818511, -5.94303, 1.99323
4.718, 0.00488957, -0.0107943, 1.1835, -1.9725, -0.128628, 0.257823, -0.0951113, 0.248942, -0.123738, 0.247029, 0.597422, 0.612583, -5.59199, 1.58893, 0.221971, -0.818511, -5.91643, 1.9429
4.719, 0.00261046, -0.00782686, 1.18286, -1.97122, -0.125885, 0.25533, -0.0946704, 0.249443, -0.123274, 0.247504, 0.464143, 0.474652, -5.60283, 1.57307, 0.221971, -0.818511, -5.91588, 1.9122
4.72, -0.00083321, -0.00430714, 1.18214, -1.96966, -0.122227, 0.252125, -0.0944782, 0.249785, -0.12306, 0.247818, 0.213993, 0.314735, -6.23838, 1.57486, 0.221971, -0.818511, -5.93422, 1.89639
4.721, -0.000535531, 0.00615761, 1.1813, -1.968, -0.121617, 0.242511, -0.0935959, 0.25066, -0.122153, 0.248668, 0.90729, 0.849792, -6.17541, 2.2386, 0.221971, -0.818511, -5.87273, 1.90781
4.722, 0.0041328, 0.021422, 1.18057, -1.96653, -0.12558, 0.22791, -0.0929138, 0.251349, -0.121447, 0.249332, 0.705856, 0.663884, -5.55926, 2.41727, 0.221971, -0.818511, -5.87992, 2.01017
4.723, 0.00764677, 0.028909, 1.18004, -1.96568, -0.127714, 0.2215, -0.0915603, 0.252449, -0.120067, 0.250409, 1.38033, 1.07706, -5.39264, 2.56053, 0.221971, -0.818511, -5.73087, 2.11602
4.724, 0.00744964, 0.0264013, 1.1794, -1.96456, -0.12619, 0.225061, -0.0902598, 0.253526, -0.11874, 0.251462, 1.3269, 1.0534, -5.37127, 2.66416, 0.221971, -0.818511, -5.70851, 2.23219
4.725, 0.00562998, 0.0165835, 1.17893, -1.96361, -0.123751, 0.235388, -0.0896637, 0.254061, -0.118121, 0.251972, 0.618779, 0.509349, -5.46454, 2.71483, 0.221971, -0.818511, -5.79269, 2.33192
4.726, 0.00314777, 0.00871875, 1.17843, -1.96269, -0.120398, 0.243935, -0.0888167, 0.254768, -0.11725, 0.252654, 0.870659, 0.681888, -5.43203, 2.70754, 0.221971, -0.818511, -5.74776, 2.36394
4.727, 0.00139866, 0.00101126, 1.17797, -1.96165, -0.118569, 0.251769, -0.0887566, 0.254922, -0.117171, 0.252781, 0.0797181, 0.126914, -5.49502, 2.68781, 0.221971, -0.818511, -5.80202, 2.38276
4.728, 0.000492333, -0.00276297, 1.17749, -1.96067, -0.117045, 0.256043, -0.0881609, 0.255447, -0.116553, 0.25328, 0.617702, 0.499088, -5.46684, 2.04935, 0.221971, -0.818511, -5.7693, 2.36317
4.729, -0.00137187, -0.00485232, 1.17704, -1.95962, -0.115217, 0.258179, -0.0882149, 0.255522, -0.116588, 0.253327, -0.035371, 0.0473054, -6.11385, 2.02498, 0.221971, -0.818511, -5.80699, 2.34924
4.73, -0.000605694, -0.00814601, 1.17666, -1.95854, -0.116741, 0.261028, -0.0889876, 0.255107, -0.117346, 0.252882, -0.75785, -0.44481, -6.0673, 1.96546, 0.221971, -0.818511, -5.76428, 2.30619
4.731, 0.00565393, -0.0058305, 1.17597, -1.95733, -0.121313, 0.25996, -0.0873321, 0.256378, -0.115659, 0.254129, 1.68754, 1.24718, -5.2302, 1.91062, 0.17784, -0.807102, -5.55847, 2.23977
4.732, 0.0106047, -0.00109486, 1.17509, -1.9555, -0.125275, 0.256043, -0.086372, 0.257222, -0.11467, 0.254948, 0.988267, 0.818433, -5.30281, 1.95712, 0.17784, -0.807102, -5.65583, 2.2626
4.733, 0.0101997, 0.00248572, 1.17472, -1.95474, -0.124361, 0.252838, -0.0858881, 0.257626, -0.114161, 0.255323, 0.509462, 0.375597, -5.31319, 2.60254, 0.17784, -0.807102, -5.66419, 2.29012
4.734, 0.00619744, 0.00877675, 1.17427, -1.95372, -0.120093, 0.246784, -0.0856473, 0.257892, -0.113896, 0.255561, 0.265009, 0.237165, -5.3187, 2.67606, 0.17784, -0.807102, -5.64968, 2.33217
4.735, 0.00220628, 0.00798782, 1.17378, -1.95278, -0.115217, 0.248208, -0.0847887, 0.258553, -0.11301, 0.256196, 0.885728, 0.635509, -5.27227, 2.69673, 0.17784, -0.807102, -5.5833, 2.35679
4.736, -0.00100458, -0.00903071, 1.17299, -1.95097, -0.111559, 0.265658, -0.0843664, 0.259012, -0.112563, 0.256627, 0.446806, 0.430835, -5.93919, 1.97829, 0.17784, -0.807102, -5.63417, 2.32345
4.737, -0.00137087, -0.0242839, 1.17243, -1.94959, -0.111254, 0.28097, -0.0844498, 0.2591, -0.112625, 0.256686, -0.0614887, 0.0595136, -5.96339, 1.7987, 0.17784, -0.807102, -5.65654, 2.22009
4.738, -5.55131e-05, -0.0320024, 1.172, -1.94839, -0.113083, 0.288449, -0.0849826, 0.258891, -0.113138, 0.256446, -0.513472, -0.240147, -5.93702, 1.61502, 0.17784, -0.807102, -5.63674, 2.07498
4.739, 0.0030279, -0.0284431, 1.17129, -1.94672, -0.115826, 0.285244, -0.0846658, 0.259272, -0.112798, 0.256801, 0.340161, 0.354293, -5.31824, 1.5046, 0.17784, -0.807102, -5.63338, 1.94678
4.74, 0.00202373, -0.0190594, 1.1705, -1.94474, -0.114912, 0.275985, -0.0847766, 0.259426, -0.112888, 0.256925, -0.0897529, 0.124816, -5.32239, 1.46918, 0.17784, -0.807102, -5.63251, 1.86446
4.741, 0.000146349, -0.00967484, 1.1698, -1.94313, -0.112473, 0.267082, -0.0842395, 0.259934, -0.112327, 0.257407, 0.561065, 0.481831, -5.30689, 1.46798, 0.17784, -0.807102, -5.60762, 1.81635
4.742, -0.0043624, 0.00243112, 1.16915, -1.94159, -0.107596, 0.25533, -0.0838941, 0.260316, -0.111959, 0.257762, 0.368142, 0.354355, -5.96466, 2.14224, 0.17784, -0.807102, -5.64285, 1.83009
4.743, -0.00389704, 0.0222674, 1.1684, -1.93989, -0.107292, 0.236101, -0.0831485, 0.260948, -0.111189, 0.258368, 0.770165, 0.606397, -5.9449, 2.3348, 0.17784, -0.807102, -5.62542, 1.92349
4.744, 0.000883038, 0.0161229, 1.16766, -1.93821, -0.111254, 0.242867, -0.0823553, 0.261595, -0.110371, 0.25899, 0.817605, 0.621597, -5.311, 2.3753, 0.17784, -0.807102, -5.61542, 1.99469
4.745, 0.00196236, 0.00691947, 1.16687, -1.93645, -0.111254, 0.252838, -0.0813015, 0.262388, -0.109292, 0.259757, 1.07933, 0.767583, -5.25785, 2.35441, 0.17784, -0.807102, -5.56766, 2.01982
4.746, -0.00330452, 0.00733551, 1.16623, -1.93495, -0.105463, 0.252838, -0.0807996, 0.262831, -0.108767, 0.260173, 0.524418, 0.41604, -5.96982, 2.40083, 0.17784, -0.807102, -5.6533, 2.06415
4.747, -0.0078307, 0.00178885, 1.16551, -1.93322, -0.100281, 0.258892, -0.080167, 0.263364, -0.108112, 0.26068, 0.655523, 0.507206, -6.01769, 2.37884, 0.17784, -0.807102, -5.67853, 2.0699
4.748, -0.00755087, -0.00455578, 1.16509, -1.93212, -0.100586, 0.265302, -0.0802113, 0.263457, -0.108137, 0.260746, -0.0249817, 0.0653415, -6.08708, 1.73357, 0.17784, -0.807102, -5.74933, 2.05635
4.749, -0.00670231, -0.0130322, 1.16459, -1.93076, -0.1015, 0.273848, -0.0803022, 0.263557, -0.108203, 0.260816, -0.0658543, 0.070246, -6.1149, 1.63269, 0.141917, -0.783763, -5.78139, 1.99785
4.75, -0.00164669, -0.00910052, 1.16418, -1.92965, -0.106682, 0.269931, -0.0804527, 0.2636, -0.108329, 0.26083, -0.126072, 0.014432, -6.09664, 1.61173, 0.141917, -0.783763, -5.78841, 1.95723
4.751, 0.00201849, 0.00915923, 1.16355, -1.92812, -0.10973, 0.252125, -0.0798635, 0.264081, -0.107712, 0.261285, 0.617123, 0.454275, -5.43904, 2.33915, 0.141917, -0.783763, -5.74913, 1.99335
4.752, 0.00371021, 0.0176169, 1.16309, -1.92718, -0.11034, 0.244291, -0.0788114, 0.26473, -0.106629, 0.261908, 1.0821, 0.623247, -5.35032, 2.45506, 0.141917, -0.783763, -5.66887, 2.06698
4.753, 0.000849581, 0.0281019, 1.16227, -1.92535, -0.106072, 0.234676, -0.0774361, 0.265625, -0.105223, 0.262778, 1.40665, 0.87003, -5.29751, 2.62113, 0.141917, -0.783763, -5.60176, 2.18066
4.754, -0.00346819, 0.0250611, 1.16173, -1.9241, -0.100891, 0.238237, -0.0766006, 0.266171, -0.104359, 0.263298, 0.863921, 0.520291, -6.03275, 2.73232, 0.141917, -0.783763, -5.71541, 2.30704
4.755, -0.00601, 0.0198779, 1.16135, -1.92311, -0.0981474, 0.243579, -0.076424, 0.266357, -0.104157, 0.263457, 0.201442, 0.158461, -6.13122, 2.80332, 0.141917, -0.783763, -5.80117, 2.40394
4.756, -0.0062906, 0.0108657, 1.16087, -1.92187, -0.0975378, 0.252838, -0.0761203, 0.266631, -0.103828, 0.263703, 0.329014, 0.246633, -6.15739, 2.80594, 0.141917, -0.783763, -5.82593, 2.45161
4.757, 0.00168999, -0.0100374, 1.16014, -1.92006, -0.104853, 0.274204, -0.0754817, 0.267121, -0.103163, 0.264167, 0.665252, 0.463539, -5.48227, 2.0514, 0.141917, -0.783763, -5.79072, 2.40159
4.758, 0.00457616, -0.0220335, 1.15983, -1.91923, -0.107596, 0.286312, -0.0753627, 0.26726, -0.10302, 0.264278, 0.142917, 0.111548, -5.48023, 1.89876, 0.141917, -0.783763, -5.80311, 2.30891
4.759, 0.00685069, -0.0411719, 1.15913, -1.91721, -0.110035, 0.305542, -0.0755487, 0.26738, -0.103184, 0.26437, -0.16391, 0.0915071, -5.43567, 1.61818, 0.141917, -0.783763, -5.76992, 2.12392
4.76, 0.00408681, -0.0384546, 1.15865, -1.91594, -0.106987, 0.303049, -0.0752886, 0.267632, -0.1029, 0.264595, 0.284179, 0.224596, -5.4254, 1.45819, 0.141917, -0.783763, -5.74583, 1.95037
4.761, 0.0010235, -0.0328108, 1.15824, -1.91472, -0.104244, 0.297351, -0.0756296, 0.267606, -0.10322, 0.264541, -0.320065, -0.0539536, -5.43456, 1.3401, 0.141917, -0.783763, -5.73968, 1.8041
4.762, -0.00525164, -0.0205958, 1.15754, -1.91266, -0.0981474, 0.285244, -0.07583, 0.267741, -0.103399, 0.264648, -0.179025, 0.107261, -6.09695, 1.30882, 0.141917, -0.783763, -5.7707, 1.71179
4.763, -0.000653643, -0.0103046, 1.15684, -1.91075, -0.102415, 0.275273, -0.0755229, 0.268087, -0.103068, 0.264968, 0.330717, 0.320128, -6.07066, 1.31236, 0.141917, -0.783763, -5.76739, 1.66389
4.764, 0.00306639, 6.62065e-05, 1.15631, -1.9094, -0.105463, 0.265302, -0.074876, 0.268513, -0.102396, 0.265368, 0.671974, 0.399742, -5.40996, 1.96349, 0.141917, -0.783763, -5.72529, 1.66316
4.765, 0.00603573, 0.0130174, 1.15568, -1.90782, -0.107596, 0.252838, -0.074066, 0.269026, -0.101561, 0.265855, 0.8357, 0.487381, -5.347, 2.08503, 0.141917, -0.783763, -5.67717, 1.71994
4.766, 0.00514861, 0.0143655, 1.15505, -1.90633, -0.105463, 0.252125, -0.072847, 0.269686, -0.100314, 0.266491, 1.24652, 0.635898, -5.2605, 2.15202, 0.141917, -0.783763, -5.58625, 1.7802
4.767, 0.00241572, 0.0137359, 1.15463, -1.90535, -0.101805, 0.253194, -0.0719478, 0.270151, -0.0993893, 0.26693, 0.924781, 0.438733, -5.31766, 2.21555, 0.141917, -0.783763, -5.62974, 1.84688
4.768, 0.00185335, 0.0156963, 1.15433, -1.90455, -0.100891, 0.251413, -0.0716283, 0.270359, -0.0990373, 0.26711, 0.352041, 0.179835, -5.36951, 2.29996, 0.0812894, -0.747589, -5.67878, 1.92148
4.769, 0.00170909, 0.0189342, 1.15383, -1.90329, -0.0999762, 0.248564, -0.0708926, 0.270775, -0.0982671, 0.267499, 0.770153, 0.389031, -5.32509, 2.39826, 0.0812894, -0.747589, -5.63363, 2.0036
4.77, 0.00389438, 0.0197178, 1.15342, -1.90234, -0.101195, 0.248208, -0.0699616, 0.271229, -0.0973011, 0.267926, 0.966073, 0.427487, -5.26926, 2.48982, 0.0812894, -0.747589, -5.58873, 2.09124
4.771, 0.00462543, 0.00925639, 1.15303, -1.90129, -0.1015, 0.258892, -0.0695675, 0.271478, -0.0968748, 0.268148, 0.426241, 0.221849, -5.30254, 2.48283, 0.0812894, -0.747589, -5.62566, 2.13655
4.772, 0.00800746, -0.00227489, 1.15239, -1.89971, -0.103634, 0.270999, -0.0683551, 0.27208, -0.0956264, 0.268724, 1.24839, 0.576444, -5.14166, 1.80695, 0.0812894, -0.747589, -5.4817, 2.11832
4.773, 0.00807437, -0.00514756, 1.15188, -1.89835, -0.103024, 0.274204, -0.0677115, 0.272439, -0.0949499, 0.269057, 0.676528, 0.332314, -5.18791, 1.77588, 0.0812894, -0.747589, -5.52828, 2.10162
4.774, 0.00361419, 0.0016253, 1.15128, -1.89675, -0.0978426, 0.267794, -0.0670228, 0.272829, -0.0942284, 0.26942, 0.721509, 0.362891, -5.18838, 2.41672, 0.0812894, -0.747589, -5.50645, 2.10859
4.775, 0.0018802, 0.00634439, 1.15092, -1.89567, -0.0960138, 0.263165, -0.0669574, 0.272946, -0.0941336, 0.269509, 0.0948444, 0.0896645, -5.22777, 2.47246, 0.0812894, -0.747589, -5.53717, 2.14074
4.776, -0.000617302, -0.000687985, 1.15014, -1.89352, -0.0926609, 0.270643, -0.066135, 0.273418, -0.0932782, 0.269955, 0.855359, 0.445922, -5.78756, 1.829, 0.0812894, -0.747589, -5.48447, 2.13244
4.777, -0.000136667, -0.00202205, 1.14987, -1.89273, -0.0929657, 0.272068, -0.0659885, 0.273536, -0.0931024, 0.270046, 0.175829, 0.0903743, -5.83996, 1.81861, 0.0812894, -0.747589, -5.53928, 2.12872
4.778, 0.00265791, 0.000313964, 1.1494, -1.89137, -0.0954041, 0.269931, -0.0656624, 0.273763, -0.0927462, 0.270245, 0.356129, 0.199356, -5.20579, 2.43106, 0.0812894, -0.747589, -5.51908, 2.12949
4.779, 0.0104762, 0.00462041, 1.14872, -1.88948, -0.102415, 0.266014, -0.0648866, 0.274178, -0.0919385, 0.270634, 0.807732, 0.389243, -5.07672, 2.47048, 0.0812894, -0.747589, -5.4291, 2.14738
4.78, 0.012408, 0.00238425, 1.14841, -1.8887, -0.103634, 0.268507, -0.0642053, 0.274461, -0.0912259, 0.270891, 0.712624, 0.256609, -5.01914, 2.47251, 0.0812894, -0.747589, -5.38118, 2.16059
4.781, 0.0102934, -0.00626322, 1.14799, -1.88756, -0.100891, 0.277409, -0.0636072, 0.274743, -0.0905972, 0.271146, 0.628639, 0.25526, -4.98927, 1.80109, 0.0812894, -0.747589, -5.34073, 2.13241
4.782, 0.00799351, -0.0145274, 1.14758, -1.88647, -0.0978426, 0.285956, -0.0628901, 0.275052, -0.0898491, 0.271429, 0.748162, 0.282456, -4.95069, 1.69397, 0.0812894, -0.747589, -5.29066, 2.06661
4.783, 0.00554177, -0.0173226, 1.14721, -1.88529, -0.0954041, 0.288805, -0.0629303, 0.275133, -0.0898624, 0.271482, -0.0132895, 0.053706, -4.97813, 1.60396, 0.0812894, -0.747589, -5.30584, 1.99056
4.784, 0.00130253, -0.014678, 1.14684, -1.88419, -0.0908321, 0.286312, -0.0626259, 0.275311, -0.0895295, 0.271634, 0.332842, 0.151786, -4.98483, 1.55069, 0.0812894, -0.747589, -5.29134, 1.92408
4.785, 0.000758804, -0.012195, 1.14649, -1.88301, -0.0905273, 0.283819, -0.0628903, 0.275329, -0.0897684, 0.271624, -0.238923, -0.0097775, -4.98826, 1.5087, 0.0812894, -0.747589, -5.29206, 1.86967
4.786, -0.000356258, -0.00953049, 1.14612, -1.88193, -0.0890032, 0.281326, -0.0625097, 0.275527, -0.0893595, 0.271796, 0.408966, 0.171768, -5.58713, 1.4786, 0.0812894, -0.747589, -5.28535, 1.82625
4.787, 0.00461487, -0.00369981, 1.14558, -1.88021, -0.0938801, 0.275629, -0.0624421, 0.275687, -0.0892652, 0.271929, 0.0942354, 0.132931, -4.95192, 1.49156, 0.0812894, -0.747589, -5.27499, 1.81006
4.788, 0.00366191, 0.00757267, 1.14512, -1.87888, -0.0923561, 0.264589, -0.0618998, 0.275946, -0.0886942, 0.272162, 0.571068, 0.233081, -4.91579, 2.1815, 0.0812894, -0.747589, -5.2341, 1.84363
4.789, 0.00137005, 0.0222808, 1.14448, -1.87716, -0.0886984, 0.250345, -0.0605724, 0.276437, -0.0873284, 0.272626, 1.36581, 0.463801, -4.80986, 2.35149, 0.0241933, -0.739725, -5.11671, 1.9401
4.79, -0.000709495, 0.0160481, 1.14397, -1.87558, -0.08626, 0.256755, -0.0602465, 0.276644, -0.0869695, 0.272803, 0.358897, 0.177178, -5.54943, 2.39753, 0.0241933, -0.739725, -5.24588, 2.0173
4.791, -0.0022383, 0.00982987, 1.14361, -1.87458, -0.0841263, 0.263165, -0.0596758, 0.276864, -0.0863646, 0.272995, 0.604836, 0.191781, -5.55044, 2.41068, 0.0241933, -0.739725, -5.23925, 2.06154
4.792, -0.00204788, 0.00847365, 1.14337, -1.87381, -0.0841263, 0.264589, -0.0595172, 0.276962, -0.0861742, 0.273063, 0.190415, 0.068224, -5.5837, 2.44304, 0.0241933, -0.739725, -5.27346, 2.10067
4.793, 0.00310748, 0.00506836, 1.14285, -1.87217, -0.0890032, 0.26815, -0.0592706, 0.277147, -0.0858957, 0.273219, 0.27847, 0.155805, -4.93993, 2.44854, 0.0241933, -0.739725, -5.25547, 2.12319
4.794, 0.00449669, -0.00258669, 1.1424, -1.8708, -0.0899176, 0.275985, -0.0588285, 0.277355, -0.0854209, 0.273398, 0.474797, 0.179353, -4.9006, 1.7984, 0.0241933, -0.739725, -5.22309, 2.11134
4.795, 0.00440772, -0.0138168, 1.14204, -1.86972, -0.089308, 0.28738, -0.0583406, 0.277548, -0.0849003, 0.273564, 0.520644, 0.165375, -4.87669, 1.67995, 0.0241933, -0.739725, -5.19873, 2.04903
4.796, 0.00267422, -0.0180395, 1.14177, -1.86884, -0.0874792, 0.291654, -0.0582756, 0.277628, -0.084805, 0.273614, 0.0953262, 0.0506476, -4.89177, 1.57798, 0.0241933, -0.739725, -5.20514, 1.96817
4.797, -0.00152614, -0.0109167, 1.14145, -1.86767, -0.0835167, 0.284531, -0.0585419, 0.277658, -0.0850429, 0.273615, -0.237879, 0.00060602, -5.51699, 1.5645, 0.0241933, -0.739725, -5.20936, 1.91908
4.798, -0.00528669, 0.00163739, 1.14112, -1.86661, -0.0795543, 0.272068, -0.0583704, 0.277777, -0.0848409, 0.273705, 0.201914, 0.0902541, -5.56222, 2.23482, 0.0241933, -0.739725, -5.23579, 1.92663
4.799, -0.00736551, 0.0130953, 1.1408, -1.8655, -0.0774206, 0.260672, -0.0583451, 0.277868, -0.0847861, 0.273767, 0.054818, 0.0624359, -5.61104, 2.35166, 0.0241933, -0.739725, -5.27421, 1.98618
4.8, -0.00681324, 0.0156242, 1.1405, -1.86445, -0.0780302, 0.258179, -0.0584312, 0.277933, -0.0848435, 0.273804, -0.0573397, 0.036086, -5.64121, 2.43514, 0.0241933, -0.739725, -5.30715, 2.05702
4.801, -0.00491942, 0.0107582, 1.14018, -1.86345, -0.0795543, 0.263165, -0.058092, 0.27808, -0.0844737, 0.273923, 0.369798, 0.119571, -5.64531, 2.45919, 0.0241933, -0.739725, -5.32071, 2.1054
4.802, -0.00415504, 0.00587447, 1.13978, -1.86212, -0.0801639, 0.26815, -0.0579666, 0.27821, -0.0843189, 0.274025, 0.154768, 0.101775, -5.67005, 2.4615, 0.0241933, -0.739725, -5.34928, 2.13213
4.803, -0.00374979, 0.00236327, 1.13954, -1.86131, -0.0804687, 0.271712, -0.057895, 0.278289, -0.0842185, 0.274075, 0.100445, 0.0498986, -5.6872, 2.45485, 0.0241933, -0.739725, -5.36845, 2.14304
4.804, -0.00352631, 0.000267258, 1.13923, -1.8602, -0.0807735, 0.273848, -0.058004, 0.278357, -0.0842998, 0.274115, -0.0813252, 0.0406449, -5.70351, 2.44569, 0.0241933, -0.739725, -5.38587, 2.14435
4.805, -0.00383971, -0.00603497, 1.1389, -1.85913, -0.0801639, 0.280258, -0.0577372, 0.278493, -0.0840036, 0.274223, 0.296213, 0.107747, -5.7173, 1.78668, 0.0241933, -0.739725, -5.3981, 2.11685
4.806, -0.00399451, -0.0215957, 1.13834, -1.85709, -0.0801639, 0.295927, -0.0579189, 0.278629, -0.0841584, 0.274331, -0.154803, 0.108105, -5.74249, 1.61122, 0.0241933, -0.739725, -5.42251, 2.01918
4.807, -0.00516284, -0.0254612, 1.13794, -1.85559, -0.0792494, 0.299844, -0.058199, 0.278708, -0.0844123, 0.274383, -0.25391, 0.0516529, -5.77026, 1.47703, 0.0241933, -0.739725, -5.44445, 1.90431
4.808, -0.00374082, -0.0157434, 1.13746, -1.85385, -0.0807735, 0.290229, -0.0583277, 0.278839, -0.0845143, 0.274486, -0.102009, 0.102871, -5.78525, 1.45454, 0.0241933, -0.739725, -5.46654, 1.83325
4.809, -0.00397226, -0.00780289, 1.13706, -1.85242, -0.0804687, 0.282395, -0.0582816, 0.278972, -0.0844409, 0.274592, 0.0733619, 0.106101, -5.8059, 1.45916, 0.0241933, -0.739725, -5.48604, 1.79817
