Time,e_0,e_1,s_0,s_1,k1_0,k1_1,q_0,q_4,dq_0,dq_4,dqr_0,dqr_1,dqd_0,dqd_1,ddqd_0,ddqd_1,tau_0,tau_4,Fext_0,Fext_1
0.023, -0.289947, -0.449617, -0.458355, -0.500494, 3.97581, 4.45465, 1.57035, -1.57072, 0.00396247, 0.000712219, -0.290996, -0.458193, -0.285984, -0.448905, -0.149797, -0.0933097, -2.41354, -0.0923672, -0, -0
0.024, -0.284831, -0.449685, -0.459, -0.512025, 4.01823, 4.51789, 1.57036, -1.57072, -0.00121922, 0.000712219, -0.291036, -0.458214, -0.28605, -0.448973, -0.0656675, -0.0680254, -2.40707, -0.0936678, -0, -0
0.025, -0.280506, -0.448992, -0.460548, -0.523117, 4.06066, 4.58114, 1.57034, -1.57072, -0.0054865, 0, -0.290954, -0.458188, -0.285992, -0.448992, 0.0579083, -0.0196488, -2.39554, -0.0948775, -0, -0
0.026, -0.27701, -0.448981, -0.46304, -0.534596, 4.10309, 4.64438, 1.57031, -1.57072, -0.00883936, 0, -0.290787, -0.458131, -0.285849, -0.448981, 0.142954, 0.0116745, -2.39785, -0.0963687, -0, -0
0.027, -0.276624, -0.449242, -0.469112, -0.546233, 4.14551, 4.70763, 1.57023, -1.57072, -0.00883936, 0.000356109, -0.290379, -0.457991, -0.285463, -0.448886, 0.385911, 0.0944157, -2.3802, -0.0978688, -0, -0
0.028, -0.283173, -0.44887, -0.48323, -0.557506, 4.18794, 4.77088, 1.5702, -1.57072, -0.00213364, 0, -0.290199, -0.457929, -0.285307, -0.44887, 0.156362, 0.0166679, -2.5132, -0.101304, -0, -0
0.029, -0.286559, -0.448917, -0.493742, -0.569018, 4.23037, 4.83412, 1.5702, -1.57072, 0.00121922, 0, -0.290207, -0.457931, -0.285339, -0.448917, -0.0325664, -0.0471332, -2.61995, -0.104342, -0, -0
0.03, -0.285992, -0.449322, -0.499673, -0.580738, 4.27279, 4.89737, 1.57021, -1.57072, 0.000609611, 0.000356109, -0.290225, -0.457936, -0.285382, -0.448966, -0.0427061, -0.0494816, -2.66295, -0.106545, -0, -0
0.031, -0.285725, -0.449017, -0.50595, -0.59205, 4.31522, 4.96061, 1.57021, -1.57072, 0.000304806, 0, -0.290238, -0.457941, -0.28542, -0.449017, -0.0376495, -0.0504173, -2.70443, -0.108763, -0, -0
0.032, -0.285137, -0.449062, -0.511852, -0.603563, 4.35765, 5.02386, 1.57021, -1.57072, -0.000304806, 0, -0.290237, -0.457941, -0.285442, -0.449062, -0.0224476, -0.0450094, -2.74211, -0.110947, -0, -0
0.033, -0.283606, -0.449096, -0.516649, -0.615069, 4.40007, 5.0871, 1.5702, -1.57072, -0.00182883, 0, -0.290205, -0.457932, -0.285434, -0.449096, 0.00783457, -0.0344188, -2.77123, -0.11302, -0, -0
0.034, -0.281732, -0.449117, -0.521039, -0.626568, 4.4425, 5.15035, 1.57019, -1.57072, -0.00365767, 0, -0.290136, -0.457908, -0.285389, -0.449117, 0.0450971, -0.0204768, -2.79705, -0.11506, -0, -0
0.035, -0.280752, -0.449129, -0.526457, -0.638062, 4.48492, 5.21359, 1.57017, -1.57072, -0.00457208, 0, -0.290048, -0.457877, -0.285324, -0.449129, 0.0651349, -0.0124563, -2.83236, -0.117271, -0, -0
0.036, -0.282778, -0.449485, -0.53536, -0.649755, 4.52735, 5.27684, 1.57015, -1.57072, -0.00243844, 0.000356109, -0.289918, -0.457833, -0.285217, -0.449129, 0.10737, 0.000337979, -2.88014, -0.119828, -0, -0
0.037, -0.285824, -0.449163, -0.545472, -0.661059, 4.56978, 5.34009, 1.57014, -1.57072, 0.000609611, 0, -0.289892, -0.457824, -0.285214, -0.449163, 0.00236996, -0.0346259, -2.96921, -0.122838, -0, -0
0.038, -0.285566, -0.449571, -0.551758, -0.672782, 4.6122, 5.40333, 1.57015, -1.57072, 0.000304806, 0.000356109, -0.289915, -0.457832, -0.285262, -0.449215, -0.0471047, -0.0514564, -3.02666, -0.125425, -0, -0
0.039, -0.284967, -0.449253, -0.557645, -0.68409, 4.65463, 5.46658, 1.57014, -1.57072, -0.000304806, 0, -0.289903, -0.457828, -0.285272, -0.449253, -0.0103327, -0.0386391, -3.06208, -0.127745, -0, -0
0.04, -0.28467, -0.449291, -0.56388, -0.6956, 4.69706, 5.52982, 1.57014, -1.57072, -0.000609611, 0, -0.289888, -0.457822, -0.28528, -0.449291, -0.00805999, -0.0376824, -3.10785, -0.130236, -0, -0
0.041, -0.284055, -0.448967, -0.569741, -0.706901, 4.73948, 5.59307, 1.57014, -1.57072, -0.00121922, -0.000356109, -0.289859, -0.457812, -0.285274, -0.449323, 0.00550509, -0.0318927, -3.14945, -0.132664, -0, -0
0.042, -0.282816, -0.449351, -0.574872, -0.718609, 4.78191, 5.65631, 1.57013, -1.57072, -0.00243844, 0, -0.289816, -0.457797, -0.285254, -0.449351, 0.0202069, -0.0276167, -3.18752, -0.135109, -0, -0
0.043, -0.28274, -0.44936, -0.581348, -0.730103, 4.82434, 5.71956, 1.57011, -1.57072, -0.00243844, 0, -0.289718, -0.457764, -0.285178, -0.44936, 0.0758968, -0.00925017, -3.22313, -0.137585, -0, -0
0.044, -0.283932, -0.449385, -0.589299, -0.741607, 4.86676, 5.7828, 1.5701, -1.57072, -0.00121922, 0, -0.289669, -0.457747, -0.285151, -0.449385, 0.0269199, -0.0249633, -3.29149, -0.140482, -0, -0
0.045, -0.284545, -0.44942, -0.596585, -0.753116, 4.90919, 5.84605, 1.5701, -1.57072, -0.000609611, 0, -0.289649, -0.457741, -0.285155, -0.44942, -0.00316859, -0.0351363, -3.35245, -0.143306, -0, -0
0.046, -0.284556, -0.449101, -0.603176, -0.764422, 4.95161, 5.9093, 1.57009, -1.57072, -0.000609611, -0.000356109, -0.289638, -0.457736, -0.285166, -0.449457, -0.0111741, -0.0367667, -3.40502, -0.146008, -0, -0
0.047, -0.283945, -0.449134, -0.609042, -0.775928, 4.99404, 5.97254, 1.57009, -1.57072, -0.00121922, -0.000356109, -0.289614, -0.457728, -0.285164, -0.44949, 0.001373, -0.0332352, -3.44944, -0.148656, -0, -0
0.048, -0.283635, -0.449165, -0.615253, -0.787433, 5.03647, 6.03579, 1.57008, -1.57072, -0.00152403, -0.000356109, -0.289587, -0.457718, -0.285159, -0.449521, 0.00580145, -0.0315441, -3.49798, -0.151381, -0, -0
